entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.7,1.3,-82348.05080304127,83,-121521.23313326729,-0.6,False
0.7,1.4,-107758.20823505319,78,-146863.74252566346,-0.7,False
0.7,1.5,-90361.3653010757,50,-128606.05000207259,-0.8,False
0.7,1.6,-95391.63428514794,46,-133581.65675510996,-0.9,False
0.7,1.7,-92299.43681502857,37,-130489.45928499057,-1.0,False
0.7,1.8,-81428.94083865381,34,-124413.94427740233,-1.1,False
0.7,1.9,-79958.51961170428,31,-122628.58205049706,-1.2,False
0.7,2.0,-83798.45059551255,26,-125432.32057786552,-1.3,False
0.7,2.1,-91035.02236194727,23,-132668.89234430023,-1.4,False
0.7,2.2,-40499.81191454869,13,-89186.25965378722,-1.5,False
0.7,2.3,-41137.63433466889,12,-89494.11534194415,-1.6,False
0.7,2.4,-44784.82630515197,9,-91261.0325340164,-1.7,False
0.7,2.5,-37217.70440042583,6,-83693.91062929026,-1.8,False
0.8,0.0,262031.05183998673,106,-47396.44222656451,0.8,True
0.8,0.1,271826.4420213487,120,-47396.44222656451,0.7,True
0.8,0.2,274805.1147994206,132,-47396.44222656451,0.6,True
0.8,0.3,267105.4528892636,147,-47396.44222656451,0.5,True
0.8,0.4,288557.5669737048,178,-42965.765220130445,0.4,True
0.8,0.5,312936.3407200461,230,-44426.616951465054,0.3,True
0.8,0.6,334200.4195653774,304,-43410.18402055593,0.2,True
0.8,0.7,321213.5010859511,412,-41825.73740318121,0.1,True
0.8,0.8,256581.40193193636,598,-42986.88238897486,0.0,False
0.8,0.9,23421.035726131006,316,-54452.604401395685,-0.1,False
0.8,1.0,637.8951229449649,224,-52715.8786756352,-0.2,False
0.8,1.1,-77191.22951807361,177,-121511.22633482405,-0.3,False
0.8,1.2,-108368.61419260896,119,-147794.83422864016,-0.4,False
0.8,1.3,-109629.61117682012,106,-149055.8312128513,-0.5,False
0.8,1.4,-130855.82194178285,92,-171460.58314690428,-0.6,False
