strategy,entry_z,exit_z,lookback_days,entry_pct,exit_band_pp,red_zone,pnl,trades,mdd,win_pct,median_hold_h,hold_gt_48h,red_zone_exits,score
z,0.95,0.55,,,,losing,550919.994127264,795,59726.40115961823,82.0125786163522,3.0,96,127,530015.7537213976
z,0.8,0.5,,,,losing,549598.7828157026,1007,57083.10523970975,82.12512413108243,1.75,83,135,529619.6959818042
z,0.6,0.5,,,,losing,550241.7576382664,1507,65997.0512023456,75.51426675514267,0.75,85,120,527142.7897174455
z,0.8,0.6,,,,losing,546496.0738376932,1207,57517.274488902694,80.19884009942005,1.25,77,125,526365.0277665772
z,1.0,0.55,,,,losing,546877.476112244,732,61549.825311431894,82.24043715846994,3.25,102,115,525335.0372532428
z,0.8,0.55,,,,losing,541544.4976183345,1096,55075.64279618762,81.56934306569343,1.5,82,129,522268.02263966884
z,0.7,0.6,,,,losing,542881.4990958731,1511,59200.71695509463,75.11581733951026,0.75,81,115,522161.24816158996
z,0.9,0.5,,,,losing,543912.3981359678,818,65594.88908716009,81.54034229828851,2.5,94,134,520954.18695546174
z,0.95,0.5,,,,losing,542432.6106466849,749,61585.87977840689,81.04138851802404,3.25,100,132,520877.5527242425
z,0.6,0.4,,,,losing,543550.5200315528,1195,66507.854040161,79.07949790794979,1.25,94,133,520272.7711174964
z,0.55,0.35,,,,losing,540901.604410035,1189,65224.803041049374,79.81497056349873,1.25,92,131,518072.92334566766
z,0.7,0.65,,,,losing,536709.2862531592,1745,57079.68465180543,70.54441260744986,0.75,74,104,516731.3966250273
z,0.5,0.35,,,,losing,536615.5505819834,1311,58287.177541519326,78.56598016781084,1.0,88,129,516215.0384424516
z,0.6,0.35,,,,losing,539128.1281108572,1098,66471.4281998873,80.8743169398907,1.5,96,136,515863.1282408967
z,0.75,0.7,,,,losing,533808.2573062637,1759,59962.27620259907,69.86924388857305,0.75,71,108,512821.460635354
z,1.05,0.7,,,,losing,536048.8663449462,798,69167.1942991116,82.95739348370927,2.25,94,102,511840.34834025713
z,0.6,0.45,,,,losing,533068.0807332811,1343,65168.98291227254,77.36411020104244,1.0,91,128,510258.9367139857
z,0.65,0.6,,,,losing,522786.17079702567,1680,56294.79049032988,71.07142857142857,0.75,72,109,503082.9941254102
z,1.1,0.7,,,,losing,525518.6797281153,735,67327.53561978915,83.40136054421768,2.5,94,104,501954.04226118914
z,0.55,0.4,,,,losing,513978.81009989895,1309,66512.61563188437,77.6165011459129,1.0,88,129,490699.39462873945
z,0.6,0.55,,,,losing,511123.2251009228,1705,60465.116841303265,69.91202346041055,0.75,76,110,489960.43420646666
z,1.05,0.65,,,,losing,514342.6301747658,747,71754.87869369004,82.86479250334672,2.75,99,106,489228.42263197433
z,0.75,0.4,,,,losing,511210.1386247141,940,66089.85156371264,80.74468085106383,2.0,90,147,488078.6905774147
z,0.6,0.3,,,,losing,508881.9038179371,978,67975.66022905734,81.18609406952966,1.75,98,140,485090.42273776705
z,0.55,0.3,,,,losing,505737.5506070241,1045,63433.591680848884,80.47846889952153,1.5,96,136,483535.793518727
