entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.8,1.9,-70272.53858661819,27,-84694.21415923277,-1.1,False
0.8,2.0,-71754.3767512717,23,-89439.79245651186,-1.2,False
0.8,2.1,-81477.61816447967,20,-99817.47315080918,-1.3,False
0.8,2.2,-37040.22094892723,9,-56134.510320954876,-1.4,False
0.8,2.3,-40016.27876171581,9,-55440.764590630504,-1.5,False
0.8,2.4,-39670.01587093352,8,-55790.149441250695,-1.6,False
0.8,2.5,-35859.262444642976,7,-55790.149441250695,-1.7,False
0.9,0.0,117008.15600144584,56,-47303.90097487724,0.9,True
0.9,0.1,131009.80090941691,63,-47303.90097487724,0.8,True
0.9,0.2,148312.15667648875,73,-47303.90097487724,0.7,True
0.9,0.3,159801.50370721726,85,-47303.90097487724,0.6,True
0.9,0.4,183362.55437741216,103,-42873.22396844314,0.5,True
0.9,0.5,185803.28853232655,125,-44334.07569977778,0.4,True
0.9,0.6,200628.97376476644,156,-43410.1840205559,0.3,True
0.9,0.7,208747.56770198603,204,-42472.72572623825,0.2,True
0.9,0.8,210186.54413649783,293,-41322.108147754305,0.1,True
0.9,0.9,175219.466242201,442,-40440.777735711104,0.0,False
0.9,1.0,49544.43598093968,270,-37591.96824187302,-0.1,False
0.9,1.1,-37026.28022625714,198,-58969.98953709511,-0.2,False
0.9,1.2,-67171.48551163566,129,-76740.08718425111,-0.3,False
0.9,1.3,-83398.93095502636,112,-93868.6729571135,-0.4,False
0.9,1.4,-93657.40996721048,95,-104033.93984515539,-0.5,False
0.9,1.5,-74711.8463733643,60,-85526.4336416286,-0.6,False
0.9,1.6,-49897.65167518552,47,-71559.70698857876,-0.7,False
0.9,1.7,-64927.76379903621,41,-82374.206094816,-0.8,False
0.9,1.8,-65851.58173026881,36,-82862.4546079553,-0.9,False
0.9,1.9,-65202.13080455587,31,-80629.94731478604,-1.0,False
0.9,2.0,-70842.33460899773,26,-88527.75031423788,-1.1,False
0.9,2.1,-74446.55032237737,21,-92786.40530870688,-1.2,False
0.9,2.2,-39735.23368501618,10,-59314.660309615414,-1.3,False
0.9,2.3,-42984.86697562332,10,-58620.91457929105,-1.4,False
0.9,2.4,-45478.437180968554,9,-58970.29942991124,-1.5,False
0.9,2.5,-43093.100985799814,8,-58970.29942991124,-1.6,False
1.0,0.0,113644.6988254537,52,-47303.90097487724,1.0,True
1.0,0.1,127982.24649411593,58,-47303.90097487724,0.9,True
1.0,0.2,140051.61784710456,65,-47303.90097487724,0.8,True
1.0,0.3,154846.62474331402,76,-47303.90097487724,0.7,True
1.0,0.4,166061.9354307149,87,-42873.22396844314,0.6,True
1.0,0.5,167001.79087784427,101,-44334.07569977778,0.5,True
1.0,0.6,184626.88019308215,126,-43410.1840205559,0.4,True
1.0,0.7,188789.88911944046,158,-41832.92197654105,0.3,True
1.0,0.8,208522.68844875603,212,-39497.33788981108,0.2,True
1.0,0.9,216149.03053359862,296,-36437.21360275068,0.1,True
1.0,1.0,205309.91136801298,471,-29109.751163938665,0.0,False
1.0,1.1,7022.453883829776,290,-53078.38879289254,-0.1,False
1.0,1.2,-57328.43457046093,175,-74888.27783905706,-0.2,False
1.0,1.3,-83349.86056502917,143,-94589.51579990874,-0.3,False
1.0,1.4,-105540.3784142621,120,-117411.63208522131,-0.4,False
1.0,1.5,-78533.932699424,67,-90843.2437607026,-0.5,False
1.0,1.6,-50953.58190526407,53,-66512.78698309149,-0.6,False
1.0,1.7,-63661.35874654868,47,-76654.0634173952,-0.7,False
1.0,1.8,-61931.54019866466,41,-77142.31193053446,-0.8,False
1.0,1.9,-64724.90854952336,33,-79920.75151096976,-0.9,False
1.0,2.0,-70703.46233721731,28,-88156.90449367369,-1.0,False
1.0,2.1,-76792.49227354999,22,-95338.20459915564,-1.1,False
1.0,2.2,-44307.792172395086,11,-61996.46475990873,-1.2,False
1.0,2.3,-47557.425463002204,11,-61302.719029584354,-1.3,False
1.0,2.4,-51181.76414518164,10,-62506.31418561069,-1.4,False
1.0,2.5,-48796.427950012905,9,-61652.10388020455,-1.5,False
1.1,0.0,125621.3907617586,48,-47303.90097487724,1.1,True
1.1,0.1,125480.95485266103,51,-47303.90097487724,1.0,True
1.1,0.2,140934.2762979203,58,-47303.90097487724,0.9,True
1.1,0.3,163824.97111589357,69,-47303.90097487724,0.8,True
1.1,0.4,177177.5647100603,79,-42873.22396844314,0.7,True
1.1,0.5,178702.27189812198,90,-44334.07569977778,0.6,True
1.1,0.6,187496.9351476925,108,-43410.18402055593,0.5,True
1.1,0.7,198364.14159975538,133,-40112.517431966786,0.4,True
1.1,0.8,239166.87307310375,173,-36309.29470835248,0.3,True
1.1,0.9,249753.20372864557,218,-33131.629123548686,0.2,True
1.1,1.0,261611.64644211356,317,-27387.172066511586,0.1,True
1.1,1.1,229985.83953678256,492,-27387.172066511586,0.0,False
1.1,1.2,15203.229766484106,231,-37945.067953620746,-0.1,False
1.1,1.3,-48799.38840514217,148,-74965.81710219561,-0.2,False
1.1,1.4,-83835.44849002651,112,-108312.80870493937,-0.3,False
1.1,1.5,-110975.86262623488,88,-128082.22801131308,-0.4,False
1.1,1.6,-101980.36571413183,92,-122259.07991063055,-0.5,False
1.1,1.7,-69197.49944507929,57,-85396.5851347665,-0.6,False
1.1,1.8,-68051.64390673384,49,-86122.41097391825,-0.7,False
1.1,1.9,-67677.94719729891,38,-85451.5456345512,-0.8,False
1.1,2.0,-64968.116113580574,30,-84999.31374584285,-0.9,False
1.1,2.1,-72976.4512784127,24,-93288.83763727525,-1.0,False
1.1,2.2,-46037.51778934522,12,-61679.44728978699,-1.1,False
1.1,2.3,-49287.15107995236,12,-61860.64912769546,-1.2,False
1.1,2.4,-51938.818264594585,11,-64512.31631233769,-1.3,False
1.1,2.5,-49553.48206942586,10,-62126.98011716896,-1.4,False
1.2,0.0,102080.59840392502,44,-47303.90097487724,1.2,True
1.2,0.1,104275.71107207515,47,-47303.90097487724,1.1,True
1.2,0.2,124061.03927748956,54,-47303.90097487724,1.0,True
1.2,0.3,131765.82596742973,60,-47303.90097487724,0.9,True
1.2,0.4,142986.85517942416,69,-42873.22396844314,0.8,True
1.2,0.5,145407.08469596037,78,-44334.07569977778,0.7,True
1.2,0.6,154099.44519678224,91,-43410.18402055593,0.6,True
1.2,0.7,166487.2664662744,109,-40112.517431966786,0.5,True
1.2,0.8,205756.3662023695,137,-38596.87256453032,0.4,True
1.2,0.9,218435.8994396979,170,-36277.17064995365,0.3,True
1.2,1.0,245102.93778538879,233,-27387.172066511586,0.2,True
1.2,1.1,250272.9843942012,338,-27387.172066511586,0.1,True
