entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.1,1.5,-274492.5170866127,82,-294890.97150709294,-1.4,False
0.1,1.6,-261558.66118748154,75,-271684.0871704056,-1.5,False
0.1,1.7,-270946.7391993804,67,-283589.26974290085,-1.6,False
0.1,1.8,-258378.1860431976,57,-275667.8405528436,-1.7,False
0.1,1.9,-268743.9110108969,56,-283478.60542172473,-1.8,False
0.1,2.0,-269444.9598003345,51,-284239.4067385475,-1.9,False
0.1,2.1,-256960.9130715535,40,-284800.42863195494,-2.0,False
0.1,2.2,-248597.25992530741,34,-286220.33808942855,-2.1,False
0.1,2.3,-246590.01948920108,31,-283883.13092135894,-2.2,False
0.1,2.4,-270327.7717578817,30,-305582.9791360565,-2.3,False
0.1,2.5,-243197.87213440202,26,-278453.0795125769,-2.4,False
0.2,0.0,953096.4856799943,1258,-47396.44222656451,0.2,True
0.2,0.1,932207.3779368135,1661,-47396.44222656451,0.1,True
0.2,0.2,809138.4142788894,2248,-47396.44222656451,0.0,False
0.2,0.3,172538.1102537651,1236,-55046.78906152236,-0.1,False
0.2,0.4,-115071.59278855796,835,-161004.1384351392,-0.2,False
0.2,0.5,-173843.01586702798,629,-246917.18408919964,-0.3,False
0.2,0.6,-242531.10086202313,512,-305715.3266379935,-0.4,False
0.2,0.7,-249908.03123307013,381,-306260.1279035945,-0.5,False
0.2,0.8,-252626.38731447925,300,-307192.1009984763,-0.6,False
0.2,0.9,-283885.12887354067,245,-331753.10839748906,-0.7,False
0.2,1.0,-222669.50855261035,178,-270710.551564324,-0.8,False
0.2,1.1,-264920.98136588524,158,-316417.1670613858,-0.9,False
0.2,1.2,-268021.00210678345,125,-286537.62613892707,-1.0,False
0.2,1.3,-268196.0285018169,112,-285005.2620607733,-1.1,False
0.2,1.4,-281770.23685171426,107,-295900.539517546,-1.2,False
0.2,1.5,-309167.240279245,97,-329069.5075509603,-1.3,False
0.2,1.6,-286968.46130954917,85,-300873.24096774816,-1.4,False
0.2,1.7,-298326.03195479856,77,-314295.01041560597,-1.5,False
0.2,1.8,-291313.33924685634,70,-309995.8280730666,-1.6,False
0.2,1.9,-299844.02964853053,69,-316401.88638939493,-1.7,False
0.2,2.0,-288203.77130491775,62,-304821.38057316735,-1.8,False
0.2,2.1,-276418.53473382065,53,-304595.35484966764,-1.9,False
0.2,2.2,-272291.1586008546,45,-309538.8499219607,-2.0,False
0.2,2.3,-277711.2108408275,48,-314628.9354299704,-2.1,False
0.2,2.4,-261874.56822482374,42,-300330.8990508876,-2.2,False
0.2,2.5,-255183.3716926023,38,-289218.8506198197,-2.3,False
0.3,0.0,984753.9369859011,1034,-47396.44222656451,0.3,True
0.3,0.1,999605.9374188493,1303,-47396.44222656451,0.2,True
0.3,0.2,969899.5225088149,1660,-47396.44222656451,0.1,True
0.3,0.3,804679.1366322894,2218,-47396.44222656451,0.0,False
0.3,0.4,120679.44525767426,1244,-44571.591470132604,-0.1,False
0.3,0.5,-76658.84498121297,889,-160463.75457102258,-0.2,False
0.3,0.6,-197247.67846821036,667,-266739.459740294,-0.3,False
0.3,0.7,-256238.8981384668,499,-312781.5845447137,-0.4,False
0.3,0.8,-265940.3071452371,371,-322558.9417162232,-0.5,False
0.3,0.9,-299481.0288370688,312,-345692.53979051096,-0.6,False
0.3,1.0,-294286.9777050094,225,-338405.8420162805,-0.7,False
0.3,1.1,-310052.7763473092,185,-353992.1469142276,-0.8,False
0.3,1.2,-320621.85353445366,147,-337102.6229442074,-0.9,False
0.3,1.3,-324246.08563228144,124,-342601.24132463266,-1.0,False
0.3,1.4,-322493.66295056866,116,-337913.2029471177,-1.1,False
0.3,1.5,-320012.523532916,100,-336346.8060733415,-1.2,False
0.3,1.6,-303085.60562017944,90,-319941.640060635,-1.3,False
0.3,1.7,-317273.077120499,80,-330550.0166436594,-1.4,False
0.3,1.8,-318076.5350378089,71,-338365.94961446134,-1.5,False
0.3,1.9,-315031.90446981904,66,-334049.479048825,-1.6,False
0.3,2.0,-312847.0009042513,61,-331924.3280106424,-1.7,False
0.3,2.1,-284050.00217165524,52,-314571.5661340626,-1.8,False
0.3,2.2,-268623.117684568,44,-303591.7469725421,-1.9,False
0.3,2.3,-281508.2637353172,48,-316441.8202769928,-2.0,False
0.3,2.4,-289135.1808490179,45,-324068.7373906935,-2.1,False
0.3,2.5,-280542.4539542181,41,-315476.01049589366,-2.2,False
0.4,0.0,940340.0301442181,848,-47396.44222656451,0.4,True
0.4,0.1,1014086.6488920709,1043,-47396.44222656451,0.3,True
0.4,0.2,1025091.5491947809,1288,-47396.44222656451,0.2,True
